,carat,cut,color,clarity,depth,table,price,x,y,z
0,0.57,Ideal,E,VS1,61.4,57.0,2068,5.37,5.32,3.28
1,0.32,Very Good,G,VS2,62.0,59.0,561,4.37,4.41,2.72
2,1.6,Very Good,E,SI2,62.0,57.0,9900,7.47,7.54,4.65
3,0.44,Premium,I,VVS2,61.5,57.0,1063,4.92,4.87,3.01
4,1.02,Very Good,H,SI1,61.6,58.0,4727,6.49,6.54,4.01
5,0.52,Ideal,D,VVS1,62.0,57.0,3218,5.15,5.17,3.2
6,0.53,Ideal,G,VS1,61.7,55.0,1607,5.18,5.22,3.21
7,0.3,Ideal,G,VVS1,62.3,54.0,764,4.32,4.35,2.7
8,1.03,Very Good,G,SI1,63.1,57.0,4764,6.45,6.41,4.06
9,0.55,Premium,G,SI1,61.3,59.0,1415,5.28,5.23,3.22
10,0.3,Good,F,VVS2,66.0,55.0,613,4.19,4.21,2.77
11,1.17,Very Good,G,VS2,63.2,57.0,7076,6.73,6.71,4.25
12,0.41,Ideal,F,VVS1,62.3,57.0,1356,4.77,4.73,2.96
13,0.35,Ideal,F,SI1,62.4,55.0,583,4.52,4.55,2.83
14,1.06,Ideal,F,VVS2,61.1,57.0,8776,6.62,6.57,4.03
15,0.31,Ideal,F,IF,61.1,57.0,914,4.37,4.4,2.68
16,0.53,Ideal,D,VS2,62.1,55.0,1956,5.2,5.17,3.22
17,0.3,Very Good,G,IF,61.0,62.0,895,4.32,4.34,2.64
18,0.53,Ideal,D,SI2,60.4,57.0,1314,5.26,5.3,3.19
19,1.05,Premium,G,SI1,60.3,57.0,4974,6.64,6.59,3.99
20,1.01,Good,D,SI2,64.6,59.0,4468,6.23,6.3,4.05
21,1.13,Premium,H,SI2,62.3,59.0,4294,6.68,6.65,4.15
22,0.4,Ideal,E,VVS2,61.6,56.0,1145,4.74,4.77,2.93
23,0.5,Premium,E,VS2,60.6,59.0,1654,5.17,5.06,3.1
24,0.74,Very Good,E,VS2,61.4,63.0,2638,5.79,5.77,3.55
25,1.01,Premium,F,SI1,59.1,56.0,5854,6.65,6.52,3.89
26,0.36,Ideal,H,IF,61.6,56.0,912,4.56,4.59,2.82
27,0.7,Premium,F,SI1,61.6,58.0,2441,5.7,5.73,3.52
28,1.76,Very Good,H,SI1,62.6,58.0,12361,7.7,7.66,4.81
29,0.41,Ideal,F,VS1,60.6,57.0,1007,4.79,4.84,2.92
30,0.81,Good,D,SI1,63.9,58.0,3179,5.9,5.85,3.75
31,0.32,Ideal,D,VS2,61.0,56.0,758,4.42,4.46,2.71
32,0.4,Very Good,G,VVS2,61.1,58.0,1033,4.73,4.76,2.9
33,0.58,Ideal,F,SI1,62.3,54.0,1401,5.36,5.39,3.35
34,0.71,Premium,G,VS2,60.3,60.0,2671,5.76,5.81,3.49
35,0.32,Premium,H,VS1,60.2,58.0,720,4.47,4.43,2.68
36,1.0,Premium,G,VS1,62.4,59.0,6727,6.4,6.35,3.98
37,0.7,Ideal,H,VVS2,62.2,55.0,3235,5.71,5.76,3.57
38,0.53,Ideal,I,SI2,61.8,55.0,844,5.22,5.26,3.24
39,1.01,Fair,E,SI1,65.3,59.0,4844,6.13,6.19,4.02
40,0.35,Ideal,D,VS1,60.8,57.0,952,4.61,4.57,2.79
41,0.57,Ideal,D,SI1,61.4,55.0,1810,5.35,5.34,3.28
42,0.93,Ideal,E,SI1,61.9,55.0,4511,6.26,6.31,3.89
43,1.11,Good,D,SI2,58.0,62.0,5015,6.77,6.81,3.94
44,1.01,Very Good,F,VVS1,63.2,56.0,9176,6.39,6.33,4.02
45,0.7,Ideal,F,VVS1,62.7,54.0,4021,5.66,5.7,3.56
46,1.05,Ideal,F,VS1,62.1,56.0,7955,6.54,6.59,4.08
47,1.01,Ideal,F,VS2,61.6,56.0,7229,6.48,6.45,3.98
48,0.34,Premium,G,VS2,60.2,58.0,765,4.55,4.52,2.73
49,1.2,Very Good,J,SI1,62.5,58.0,5082,6.74,6.79,4.23
50,0.33,Ideal,G,VS2,61.2,55.0,743,4.52,4.46,2.75
51,1.02,Ideal,D,SI1,61.3,56.0,6157,6.48,6.53,3.99
52,0.51,Premium,J,VS2,61.5,58.0,1020,5.14,5.1,3.15
53,1.03,Ideal,J,VS2,61.6,57.0,4283,6.52,6.47,4.0
54,2.0,Fair,J,SI1,66.4,55.0,11189,7.82,7.67,5.15
55,1.36,Ideal,D,VS2,62.1,55.0,11793,7.18,7.13,4.44
56,0.3,Good,E,VVS2,63.0,58.0,622,4.27,4.34,2.71
57,0.5,Fair,G,VS1,60.3,66.0,1327,5.13,5.09,3.08
58,0.5,Good,G,SI1,63.6,55.0,1286,5.06,5.03,3.21
59,0.54,Ideal,I,VS1,62.3,57.0,1452,5.2,5.24,3.25
60,0.32,Ideal,F,IF,61.9,55.0,915,4.38,4.44,2.73
61,1.16,Ideal,G,SI2,61.9,56.0,4880,6.73,6.77,4.18
62,0.37,Premium,G,VS1,61.4,58.0,746,4.58,4.61,2.82
63,0.61,Ideal,I,VS2,62.0,57.0,1627,5.43,5.46,3.37
64,1.04,Good,I,SI2,59.9,64.0,2970,6.51,6.45,3.88
65,0.8,Premium,G,VS2,60.6,59.0,3002,6.02,5.97,3.63
66,0.36,Premium,G,SI2,60.8,58.0,608,4.61,4.57,2.79
67,1.04,Ideal,G,SI1,61.9,53.0,5570,6.53,6.54,4.05
68,0.32,Ideal,G,IF,60.9,57.0,918,4.41,4.46,2.7
69,0.4,Very Good,F,VVS2,63.0,57.0,963,4.63,4.7,2.94
70,1.01,Ideal,F,VS2,61.9,54.0,7014,6.45,6.49,4.0
71,1.17,Premium,F,SI1,61.9,60.0,5366,6.72,6.66,4.14
72,1.02,Premium,H,SI1,59.6,57.0,5055,6.63,6.55,3.93
73,0.51,Premium,G,VS1,62.1,58.0,1662,5.12,5.09,3.17
74,0.57,Very Good,D,VVS1,60.4,57.0,2945,5.39,5.44,3.27
75,1.04,Very Good,J,VS2,59.5,59.0,4451,6.59,6.66,3.94
76,1.01,Very Good,D,VS2,60.6,56.0,7001,6.45,6.51,3.93
77,0.75,Very Good,E,SI1,63.4,57.0,2698,5.77,5.75,3.65
78,0.26,Very Good,I,VVS2,62.7,55.0,427,4.09,4.12,2.57
79,1.0,Ideal,E,VS2,61.6,57.0,6600,6.38,6.44,3.95
80,2.02,Fair,D,SI1,65.0,55.0,16386,7.94,7.84,5.13
81,0.34,Ideal,H,VVS1,61.8,57.0,995,4.46,4.44,2.75
82,2.17,Ideal,I,SI1,60.7,57.0,17747,8.38,8.42,5.1
83,1.01,Ideal,G,VS2,61.4,57.0,7179,6.44,6.5,3.97
84,0.74,Good,F,SI2,62.6,65.0,2685,5.66,5.69,3.55
85,1.01,Very Good,F,VS1,63.2,58.0,7107,6.32,6.34,4.0
86,0.72,Very Good,E,SI2,59.8,58.0,2345,5.84,5.86,3.5
87,0.52,Ideal,E,VS1,61.3,56.0,1886,5.18,5.22,3.19
88,0.53,Ideal,H,VS2,62.5,56.0,1314,5.15,5.19,3.23
89,0.57,Ideal,E,VS1,61.6,55.0,1884,5.32,5.36,3.29
90,0.42,Good,D,SI2,63.2,57.0,653,4.75,4.77,3.01
91,2.06,Ideal,I,SI1,62.0,56.0,16960,8.12,8.17,5.05
92,0.73,Ideal,F,SI1,62.1,55.0,2822,5.75,5.78,3.58
93,0.92,Premium,D,SI2,62.4,58.0,4096,6.19,6.18,3.86
94,0.29,Ideal,G,VVS2,61.9,56.0,607,4.24,4.25,2.62
95,0.5,Ideal,F,IF,62.0,55.0,2645,5.09,5.13,3.17
96,0.63,Ideal,I,SI1,62.0,57.0,1372,5.47,5.49,3.4
97,0.74,Ideal,E,SI2,60.9,57.0,2617,5.89,5.83,3.57
98,1.11,Ideal,G,VS2,61.2,56.0,6982,6.68,6.65,4.08
99,0.9,Good,H,VS2,64.0,57.0,3601,6.11,6.14,3.92
100,0.71,Ideal,E,SI1,61.7,56.0,2680,5.69,5.72,3.52
101,0.28,Ideal,H,VS1,62.2,54.0,476,4.18,4.21,2.61
102,1.2,Premium,G,VS1,63.0,61.0,8938,6.62,6.59,4.16
103,0.32,Premium,H,VS2,60.7,58.0,505,4.43,4.46,2.7
104,1.21,Premium,E,VS1,60.3,58.0,10137,6.95,6.91,4.18
105,0.7,Premium,F,VVS2,62.2,58.0,2975,5.72,5.66,3.54
106,0.3,Ideal,F,SI1,62.3,54.0,475,4.3,4.34,2.69
107,0.71,Very Good,E,VS2,62.7,59.0,2830,5.65,5.7,3.56
108,0.7,Very Good,F,SI1,63.1,54.0,2278,5.64,5.67,3.57
109,1.01,Ideal,E,SI2,61.5,55.0,4504,6.45,6.49,3.98
110,0.73,Ideal,J,VS2,62.8,55.0,2054,5.69,5.72,3.58
111,1.51,Premium,I,SI2,61.3,55.0,6173,7.41,7.36,4.53
112,0.43,Ideal,G,VVS2,60.1,57.0,1129,4.91,4.88,2.94
113,0.8,Very Good,E,SI2,62.4,55.0,2623,5.88,5.92,3.68
114,1.05,Premium,F,VS1,61.0,58.0,7879,6.6,6.55,4.01
115,0.5,Very Good,H,VS1,61.0,56.0,1598,5.1,5.13,3.12
116,0.32,Ideal,G,VS1,62.3,56.0,828,4.39,4.37,2.73
117,1.58,Premium,H,SI2,60.4,58.0,8887,7.6,7.52,4.57
118,0.27,Ideal,F,VS2,60.9,57.0,577,4.17,4.2,2.55
119,0.34,Premium,G,VS2,62.4,59.0,596,4.41,4.47,2.77
120,1.2,Fair,H,SI2,65.6,57.0,3696,6.73,6.57,4.36
121,0.4,Premium,E,SI1,62.2,62.0,882,4.69,4.66,2.91
