,carat,cut,color,clarity,depth,table,price,x,y,z
0,1.0,Good,F,SI1,63.6,62.0,,6.3,6.24,3.99
1,1.1,Very Good,E,SI2,60.1,62.0,,6.65,6.69,4.01
2,0.3,Very Good,J,VS2,62.2,57.0,,4.28,4.3,2.67
3,1.24,Premium,E,SI2,60.8,57.0,,6.98,6.94,4.23
4,0.77,Fair,J,VS1,61.2,66.0,,5.92,5.83,3.6
5,2.42,Premium,J,VS2,61.3,59.0,,8.61,8.58,5.27
6,1.19,Good,F,SI1,57.6,60.0,,6.98,7.02,4.03
7,1.02,Ideal,E,SI2,61.6,56.0,,6.55,6.48,3.99
8,0.53,Ideal,G,VS1,61.8,55.0,,5.22,5.17,3.21
9,0.72,Ideal,D,VS1,62.3,54.0,,5.74,5.79,3.59
10,0.7,Premium,D,VS1,61.0,59.0,,5.79,5.72,3.51
11,1.21,Fair,G,SI1,64.6,60.0,,6.69,6.62,4.3
12,0.72,Ideal,I,VS1,61.0,57.0,,5.76,5.83,3.56
13,0.41,Ideal,F,VS1,62.7,55.0,,4.74,4.77,2.98
14,0.4,Ideal,D,VS2,61.3,57.0,,4.75,4.77,2.92
15,0.33,Ideal,D,VS2,62.1,56.0,,4.44,4.48,2.77
16,0.63,Very Good,H,VS1,61.1,57.0,,5.5,5.54,3.37
17,0.91,Very Good,I,VS2,61.5,58.0,,6.2,6.23,3.82
18,0.91,Premium,E,VS2,62.3,58.0,,6.21,6.15,3.85
19,1.22,Very Good,G,SI1,61.8,58.0,,6.82,6.88,4.23
20,1.0,Very Good,E,VS2,62.9,57.0,,6.33,6.35,3.99
21,0.64,Ideal,G,VVS1,61.9,56.0,,5.53,5.56,3.43
22,0.31,Ideal,G,VS2,61.7,55.0,,4.35,4.37,2.69
23,1.6,Premium,J,VS1,61.3,59.0,,7.49,7.52,4.6
24,0.75,Premium,E,SI1,62.8,56.0,,5.78,5.75,3.62
25,0.52,Good,F,VS1,61.2,62.0,,5.12,5.05,3.11
26,1.27,Premium,G,VVS2,61.0,58.0,,6.96,7.01,4.26
27,1.11,Good,E,SI2,58.3,60.0,,6.76,6.83,3.96
28,0.39,Good,H,VS2,63.1,58.0,,4.63,4.66,2.93
29,0.73,Ideal,H,IF,62.3,55.0,,5.77,5.79,3.6
30,0.42,Very Good,F,SI1,62.9,57.0,,4.73,4.77,2.99
31,0.9,Good,F,SI2,57.9,62.0,,6.23,6.35,3.64
32,0.4,Ideal,E,VVS2,61.7,56.0,,4.77,4.73,2.93
33,0.9,Very Good,F,SI1,61.4,58.0,,6.18,6.23,3.81
34,1.5,Good,G,SI1,58.4,65.0,,7.45,7.41,4.34
35,0.7,Very Good,D,SI1,59.4,63.0,,5.76,5.78,3.43
36,1.13,Very Good,G,SI1,60.9,60.0,,6.67,6.76,4.09
37,0.62,Very Good,F,SI2,63.1,52.0,,5.39,5.53,3.45
38,0.4,Ideal,I,VVS2,61.9,56.4,,4.72,4.74,2.93
39,2.02,Premium,E,SI2,61.0,59.0,,8.18,8.12,4.97
40,0.59,Good,J,IF,63.7,59.0,,5.3,5.28,3.37
41,0.53,Ideal,H,SI1,62.3,57.0,,5.2,5.24,3.25
42,0.31,Ideal,E,VVS2,62.0,54.0,,4.33,4.35,2.69
43,1.14,Very Good,H,SI2,63.3,57.0,,6.6,6.63,4.19
